MARK	EID	Epigenome_name	FRAGLEN
H3K36me3	E119										HMEC_Mammary_Epithelial							   125
H3K36me3	E120										HSMM_Skeletal_Muscle_Myoblasts						   155
H3K36me3	E121										HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM			   215
H3K36me3	E122										HUVEC_Umbilical_Vein_Endothelial_Cells					   190
H3K36me3	E123										K562_Leukemia								   170
H3K36me3	E124										Monocytes-CD14+_RO01746							   225
H3K36me3	E125										NH-A_Astrocytes								   140
H3K36me3	E126										NHDF-Ad_Adult_Dermal_Fibroblasts					   125
H3K36me3	E127										NHEK-Epidermal_Keratinocytes						   145
H3K36me3	E128										NHLF_Lung_Fibroblasts							   125
H3K36me3	E129										Osteoblasts								   185
H3K4me1		E001										ES-I3_Cell_Line								   195
H3K4me1		E002										ES-WA7_Cell_Line							   130
H3K4me1		E003										H1_Cell_Line								   145
H3K4me1		E004										H1_BMP4_Derived_Mesendoderm_Cultured_Cells				   135
H3K4me1		E005										H1_BMP4_Derived_Trophoblast_Cultured_Cells				   135
H3K4me1		E006										H1_Derived_Mesenchymal_Stem_Cells					   110
H3K4me1		E007										H1_Derived_Neuronal_Progenitor_Cultured_Cells				   115
H3K4me1		E008										H9_Cell_Line								   135
H3K4me1		E009										H9_Derived_Neuronal_Progenitor_Cultured_Cells				   120
H3K4me1		E010										H9_Derived_Neuron_Cultured_Cells					   135
H3K4me1		E011										hESC_Derived_CD184+_Endoderm_Cultured_Cells				   220
H3K4me1		E012										hESC_Derived_CD56+_Ectoderm_Cultured_Cells				   230
H3K4me1		E013										hESC_Derived_CD56+_Mesoderm_Cultured_Cells				   205
H3K4me1		E014										HUES48_Cell_Line							   175
H3K4me1		E015										HUES6_Cell_Line								   165
H3K4me1		E016										HUES64_Cell_Line							   180
H3K4me1		E017										IMR90_Cell_Line								   140
H3K4me1		E018										iPS-15b_Cell_Line							   165
H3K4me1		E019										iPS-18_Cell_Line							   220
H3K4me1		E020										iPS-20b_Cell_Line							   175
H3K4me1		E021										iPS_DF_6.9_Cell_Line							   120
H3K4me1		E022										iPS_DF_19.11_Cell_Line							   120
H3K4me1		E023										Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells			   200
H3K4me1		E024										4star									   160
H3K4me1		E025										Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells			   200
H3K4me1		E026										Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells		   200
